Updated On,State,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered),Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years (Individuals Vaccinated),45-60 Years (Individuals Vaccinated),60+ Years (Individuals Vaccinated),Male (Individuals Vaccinated),Female (Individuals Vaccinated),Transgender (Individuals Vaccinated)
04/03/2021,India,16535703,613748,57418,13393538,3142165,,,,1345443,12048095,,,,,,,,,7346850,6045211,1477
05/03/2021,India,17871673,714806,59064,14415912,3455761,,,,1386898,13029014,,,,,,,,,7924084,6490255,1573
06/03/2021,India,19170828,802800,60930,15438495,3732333,,,,1434272,14004223,,,,,,,,,8488627,6948195,1673
07/03/2021,India,19288666,862720,63187,15541529,3747137,,,,1440857,14100672,,,,,,,,,8545982,6993867,1680
08/03/2021,India,21038500,923939,64854,16976138,4062362,,,,1495593,15480545,,,,,,,,,9298005,7676312,1821
09/03/2021,India,18360243,3632230,22562,14003206,4357037,,,,1619279,16739804,,,,,,,,,10044921,8313353,1967
10/03/2021,India,19538547,3712590,22885,14872785,4665762,,,,1727948,17809439,,,,,,,,,10707385,8829091,2069
11/03/2021,India,19953987,2074307,13920,15204375,4749612,,,,1755220,18197567,,,,,,,,,10937930,9013952,2103
12/03/2021,India,21772159,5428928,34489,16612019,5160140,,,,1910640,19860313,,,,,,,,,11974143,9795767,2247
13/03/2021,India,23159604,4500722,27403,17698742,5460862,,,,2010101,21148292,,,,,,,,,12747867,10409393,2342
14/03/2021,India,23317750,935045,6063,17837716,5480034,,,,2017875,21298664,,,,,,,,,12832126,10483269,2353
15/03/2021,India,25618250,6451678,40180,19766466,5851784,,,,2183445,23433592,,,,,,,,,14090723,11524956,2569
16/03/2021,India,31870745,5366679,33886,25709257,6161488,,,,2557019,29313725,,14381,,,,7822654,8321177,9549294,13993527,11713149,2581
17/03/2021,India,36496020,5183313,31807,30011328,6484692,,,,2875235,33620784,,14662,,,,7949980,9106642,12938115,16266085,13742026,3217
18/03/2021,India,38770404,5880856,38208,31952935,6817469,,,,3111700,35658703,,14777,,,,8086204,9587964,14261942,17311577,14637915,3443
19/03/2021,India,41309219,6385874,41625,34228371,7080848,,,,3332178,37977040,,14896,,,,8219288,10165734,15826268,18492473,15732206,3692
20/03/2021,India,43877868,6470646,42178,36568988,7308880,,,,3617184,40260683,,15074,,,,8358591,10766621,17426476,19688923,16876137,3928
21/03/2021,India,44645372,1919521,13892,37303458,7341914,,,,3711319,40934052,,15121,,,,8392363,10969933,17923778,20053560,17245870,4028
22/03/2021,India,47204633,7458801,49877,39612614,7592019,,,,4025733,43178899,,15234,,,,8514176,11542500,19538350,21244939,18363361,4314
23/03/2021,India,49973152,6325666,42614,42148875,7824277,,,,4418254,45554897,,15414,,,,8657263,12235178,21238556,22532413,19611896,4566
24/03/2021,India,52216237,6309312,42607,44250191,7966046,,,,4755913,47460323,,15533,,,,8770039,12809134,22652955,23602891,20642500,4800
25/03/2021,India,54589220,6810937,46395,46454700,8134520,,,,5065307,49523912,,15692,,,,8895838,13438961,24101658,24744845,21704739,5116
26/03/2021,India,57021164,7290723,49904,48749313,8271851,,,,5363425,51657738,,15827,,,,9030708,14142017,25558079,25911744,22832194,5375
27/03/2021,India,59235436,6515557,44549,50865316,8370120,,,,5581810,53653625,,15942,,,,9170702,14835024,26840911,26976551,23883153,5612
28/03/2021,India,59557120,2724106,18876,51179587,8377533,,,,5600420,53956699,,15968,,,,9191854,14951629,27017385,27137004,24036939,5644
29/03/2021,India,60183064,3614098,24773,51774289,8408775,,,,5673246,54509817,,16014,,,,9232163,15144058,27379282,27427546,24341025,5718
30/03/2021,India,61990242,6935955,45244,53429356,8560886,,,,5820234,56170007,,16112,,,,9335310,15669710,28405395,28257441,25165987,5928
31/03/2021,India,63935590,7622285,48959,55188803,8746787,,,,5979191,57956398,,16261,,,,9451326,16264001,29454352,29151242,26031409,6152
01/04/2021,India,66361722,8582019,56390,57443466,8918256,,,,6164245,60197476,,16355,,,,9557988,17615494,30250716,30321468,27115615,6383
02/04/2021,India,70090836,7771995,50714,60936753,9154083,,,,6415647,63675188,,16677,,,,9722696,19839695,31354874,32126426,28803529,6798
03/04/2021,India,73112119,8028771,53749,63743700,9368419,,,,6619593,66492525,,16891,,,,9872239,21613929,32237904,33577406,30159173,7121
04/04/2021,India,76405697,6779834,43542,66838504,9567193,,,,6880699,69524997,,17036,,,,9981005,23681718,33156019,35165269,31665721,7514
05/04/2021,India,79439889,9947093,64960,69620234,9819655,,,,7162657,72277231,,17130,,,,9988573,25457649,34154208,36559511,33052869,7854
06/04/2021,India,82065337,9341151,61096,72035640,10029697,,,,7419434,74645902,,17216,,,,9994341,27028827,34992622,37772299,34255180,8161
07/04/2021,India,87100627,8870978,58826,76671812,10428815,,,,7832533,79268093,,17424,,,,10005564,30065901,36580444,40110598,36552499,8715
08/04/2021,India,91881530,9913258,65506,80998099,10883431,,,,8167587,83713942,,17628,,,,10017087,32914036,38047027,42273620,38715200,9279
09/04/2021,India,95583419,9969009,65714,84296847,11286572,,,,8425992,87157426,,17815,,,,10050594,35088992,39137263,43929844,40357259,9744
10/04/2021,India,99069354,8710763,58594,87411872,11657482,,,,8678151,90391202,,17965,,,,10115743,37138666,40137437,45508111,41893575,10186
11/04/2021,India,102000401,9729980,63648,90111528,11888873,,,,8865852,93134548,,18061,,,,10150663,38924746,41016044,46895781,43205152,10595
12/04/2021,India,105970539,10664088,71554,93559587,12410952,,,,9117558,96852980,,18211,,,,10214478,41124841,42200133,48669828,44878560,11199
13/04/2021,India,108598289,10046908,67834,95823614,12774675,,,,9279181,99319107,,18349,,,,10261853,42580769,42960830,49885738,45926378,11498
14/04/2021,India,111913288,10786962,69832,98703696,13209592,,,,9632303,102280984,,18419,,,,10329252,44385712,43968484,51361929,47329847,11920
15/04/2021,India,114598026,9771019,66284,100853671,13744355,,,,9850203,104747822,,18511,,,,10393324,45715162,44724878,52488916,48352489,12266
16/04/2021,India,117305344,9780485,66381,102927296,14378048,,,,10178643,107126700,,18664,,,,10469609,46998499,45438828,53575244,49339504,12548
17/04/2021,India,119971369,8521217,60057,104950409,15020960,,,,10555424,109415944,,18764,,,,10546237,48281098,46102623,54647827,50289664,12918
18/04/2021,India,121207098,8395934,58212,105896430,15310668,,,,10711610,110495487,,18788,,,,10573998,48885888,46416081,55151208,50732172,13050
19/04/2021,India,124457162,10632658,73506,108178574,16278588,,,,11106751,113350410,,18896,,,,10717276,50242630,47198108,56358692,51806475,13407
20/04/2021,India,127428887,10163007,71051,110165234,17263653,,,,11515707,115913179,,18976,,,,10827001,51441470,47876178,57420010,52731510,13714
21/04/2021,India,129646105,9537781,67123,111673361,17972744,,,,11799916,117846188,,19057,,,,10889235,52371179,48391750,58217380,53441979,14002
22/04/2021,India,132754608,10459336,73933,113584269,19170339,,,,12176768,120577839,,19130,,,,10972801,53528676,49056017,59214377,54355513,14379
23/04/2021,India,135658324,9772224,68575,115461202,20197122,,,,12507127,123151196,,19246,,,,11075950,54681402,49673372,60208977,55237448,14777
24/04/2021,India,138185956,8300170,59612,117105343,21080613,,,,12775153,125410802,,19338,,,,11161742,55725179,50185235,61078797,56011474,15072
25/04/2021,India,139185173,5844983,41927,117795008,21390165,,,,12866845,126318327,,19364,,,,11194950,56163123,50403597,61442119,56337692,15197
26/04/2021,India,142524947,9725885,68905,119886252,22638695,,,,13127022,129397924,,19459,,,,11300300,57436912,51108802,62534884,57335805,15563
27/04/2021,India,144879233,9192384,65370,121263287,23615946,,,,13362545,131516688,,19521,,,,14453548,55220908,51567636,63266613,57980903,15771
28/04/2021,India,147053392,8123540,57439,122538179,24515213,,,,13636237,133417155,,19657,,,,14557937,55978822,51980128,63938524,58583701,15954
29/04/2021,India,149268772,8593203,61628,123811908,25456864,,,,13926050,135342722,,19753,,,,14666103,56743187,52384617,64611787,59183960,16161
30/04/2021,India,151998107,8996730,64042,125376952,26621155,,,,14178643,137819464,,19828,,,,14819208,57676548,52862810,65445771,59914751,16430
01/05/2021,India,153626325,8022399,56966,126328970,27297355,,,,14369918,139256407,,19850,,,,14999469,58198124,53112963,65972485,60339903,16582
02/05/2021,India,154211511,5396932,38359,126704151,27507360,,,,14417017,139794494,,19868,,,,15057167,58438144,53191783,66183753,60503747,16651
03/05/2021,India,156082136,8814219,61196,127696675,28385461,,,,14654260,141427876,,19921,,,,15352120,58901132,53426355,66737774,60942039,16862
04/05/2021,India,157750752,8034995,55739,128627919,29122833,,,,14892657,142858095,,19982,,,,15689305,59299040,53622284,67265833,61344881,17205
05/05/2021,India,159931238,8424665,58108,129730641,30200597,,,,15127348,144803890,,20041,,,,16036053,59800123,53877151,67881167,61832097,17377
06/05/2021,India,162603603,8708024,60671,131058890,31544713,,,,15424914,147178689,,20079,,,,16430428,60403154,54207909,68616643,62424602,17645
07/05/2021,India,165190000,8244108,57623,132294827,32895173,,,,15761911,149428089,,20136,,,,16856986,60927081,54493332,69304346,62972623,17858
08/05/2021,India,167493857,8362691,58214,133366482,34127375,,,,16195122,151298735,,20212,,,,17255291,61372739,54720932,69899266,63449164,18052
09/05/2021,India,168304868,5437733,39614,133854676,34450192,,,,16321015,151983853,,20234,,,,17539440,61510977,54786708,70186220,63650307,18149
10/05/2021,India,171098918,8215415,58011,135192013,35906905,,,,16727082,154371836,,20288,,,,18167977,61966293,55038117,70948079,64225501,18433
11/05/2021,India,173862643,7848368,56288,136557345,37305298,,,,17081853,156780790,,20315,,,,18768175,62460166,55307756,71722365,64816275,18705
12/05/2021,India,176045577,7572978,54605,137805245,38240332,,,,17459811,158585766,,20352,,,,19307387,62926016,55549219,72431855,65354414,18976
13/05/2021,India,178361846,7238072,52103,139087590,39274256,,,,17840229,160521617,,20415,,,,19863113,63401077,55799375,73161834,65906538,19218
14/05/2021,India,179646413,5861579,42398,139861462,39784951,,,,18087664,161558739,,20432,,,,20255885,63656217,55924598,73607113,66234957,19392
15/05/2021,India,181544536,7183448,51190,141132112,40412424,,,,18535310,163009216,,20459,,,,20902588,64076941,56126114,74324379,66787921,19812
16/05/2021,India,182251006,4278089,27979,141764335,40486671,,,,18695475,163555521,,20473,,,,21360117,64200432,56176752,74693401,67050966,19968
17/05/2021,India,183817204,8089861,48246,143090218,40726986,,,,19077536,164739599,,20512,,,,22103586,64615446,56342950,75461311,67608590,20317
18/05/2021,India,185191602,7311249,42755,144270200,40921402,,,,19407170,165784285,,20586,,,,22710882,65021417,56508521,76142110,68107465,20625
19/05/2021,India,186410600,6683984,40289,145333606,41076994,,,,19669911,166740487,,20659,,,,23325439,65340955,56636839,76761977,68550747,20882
20/05/2021,India,187886885,7547217,44986,146624652,41262233,,,,19986188,167900451,,20755,,,,24095416,65709875,56787668,77512357,69091006,21289
21/05/2021,India,189344105,7425242,42679,147893976,41450129,,,,20301735,169042095,275,20821,,,,24815544,66109139,56936352,78248902,69623495,21579
22/05/2021,India,190936859,8649098,49046,149302864,41633995,,,,20590582,170345955,322,20858,,,,25540064,66609184,57119494,79056922,70224054,21888
23/05/2021,India,191877460,5338956,30180,150180408,41697052,,,,20680782,171196318,360,20870,,,,26159678,66797754,57188219,79574984,70583303,22121
24/05/2021,India,194313920,9601152,51161,152439044,41874876,,,,20932868,173380665,387,20918,,,,27500303,67442972,57459394,80889623,71526736,22685
25/05/2021,India,196463495,9133572,46265,154384464,42079031,,,,21222896,175240154,445,20981,,,,28655080,68006383,57685358,82032580,72328742,23142
26/05/2021,India,198425615,9309344,44319,156189641,42235974,,,,21440904,176983511,1200,21016,,,,29673387,68568469,57908741,83084097,73082037,23507
27/05/2021,India,201438120,10482875,44427,159006359,42431761,,,,21732409,179703057,2654,21057,,,,31096243,69538125,58331056,84683042,74299145,24172
28/05/2021,India,204617572,11340655,44877,161951713,42665859,,,,22143306,182470401,3865,21092,,,,32704761,70491958,58711772,86374510,75552353,24850
29/05/2021,India,207796464,11069278,43049,164804095,42992369,,,,22748715,185041368,6381,21143,,,,34394210,71322705,59041286,88027641,76750999,25455
30/05/2021,India,208907723,5941306,22980,165823004,43084719,,,,22948962,185950671,8090,21166,,,,35054344,71584500,59137269,88619604,77177776,25624
31/05/2021,India,211778491,10623839,42783,168393525,43384966,,,,23442881,188324712,10898,21260,,,,36494965,72388059,59461062,90095606,78271582,26337
01/06/2021,India,214314522,9930062,38044,170640412,43674110,,,,23905095,190396381,13046,21302,,,,37657598,73158983,59772400,91381749,79231870,26793
02/06/2021,India,216858197,10324274,38535,172945950,43912247,,,,24376613,192467399,14185,21412,,,,38998815,73851872,60041595,92705952,80212651,27347
03/06/2021,India,219831571,11534619,41239,175677634,44153937,,,,25012565,194803940,15066,21470,,,,40649116,74618017,60353715,94288015,81361633,27986
04/06/2021,India,223642281,13131165,46141,179205337,44436944,,,,25581498,198045267,15516,21518,,,,42587253,75746331,60810517,96289872,82885972,29493
05/06/2021,India,227162503,12775190,45548,182451348,44711155,,,,26213604,200932620,16279,21637,,,,44490432,76694765,61200972,98143570,84277549,30229
06/06/2021,India,228624578,7228531,24346,183824958,44799620,,,,26450908,202156935,16735,21706,,,,45391190,77035519,61331191,98907905,84886553,30500
07/06/2021,India,232063488,12625429,45459,186933771,45129717,,,,27031124,205014564,17800,21820,,,,47233720,77930082,61699177,100656406,86246094,31271
08/06/2021,India,234952618,11506400,41121,189503126,45449492,,,,27571289,207362449,18880,21899,,,,48781429,78645889,62001788,102100803,87370490,31833
09/06/2021,India,238440129,11932713,42274,192669299,45770830,,,,28196184,210223401,20544,21959,,,,50952882,79344582,62293642,103888483,88748112,32704
10/06/2021,India,241846863,12035310,42414,195747476,46099387,,,,28814428,213010415,22020,21991,,,,53072899,80018155,62574015,105607170,90106724,33582
11/06/2021,India,245411955,12044221,42704,198977594,46434361,,,,29426682,215962153,23120,22027,,,,55307867,80715943,62867396,107385721,91557487,34386
12/06/2021,India,249033094,12844959,42982,202207183,46825911,,,,29975845,219032482,24767,22075,,,,57472406,81467278,63177391,109174763,92997290,35130
13/06/2021,India,250656362,7549518,22768,203705131,46951231,,,,30185294,220445754,25314,22082,,,,58561036,81756122,63296269,109979462,93690273,35396
14/06/2021,India,254653040,14048206,46924,207274441,47378599,,,,30779165,223847280,26595,22118,,,,60913444,82600503,63665384,111868784,95369557,36100
15/06/2021,India,257605528,11834657,41484,209816439,47789089,,,,31248316,226329536,27676,22127,,,,62448482,83290805,63979181,113266182,96513504,36753
16/06/2021,India,261118468,14252163,44447,212945352,48173116,,,,31695663,229393676,29129,22155,,,,64643068,83939373,64262201,114978703,97929255,37394
17/06/2021,India,264537245,13293750,42886,215944608,48592637,,,,32252129,232253523,31593,22214,,,,66811954,84514167,64514699,116630688,99275854,38066
18/06/2021,India,267951571,12991192,42760,218956863,48994708,,,,32765846,235151645,34080,22257,,,,68997968,85086167,64765494,118293011,100624989,38863
19/06/2021,India,271833642,14175307,43724,222316897,49516745,,,,33243363,238552905,37374,22308,,,,71342757,85786352,65076837,120139375,102137801,39721
20/06/2021,India,275018693,12736409,24766,225211708,49806985,,,,33448885,241530408,39400,22319,,,,73042655,86653713,65402486,121366817,103804672,40219
21/06/2021,India,283891764,35010311,68061,233288807,50602957,,,,34123378,249725103,43283,22345,,,,79130988,88034483,66002905,125704054,107542051,42702
22/06/2021,India,289961746,23436266,54639,238685516,51276230,,,,34641890,255272448,47408,22406,,,,83190167,88947171,66423283,128567271,110074369,43876
23/06/2021,India,296892521,27105115,59462,244944880,51947641,,,,35392947,261448717,50857,22436,,,,88014595,89941914,66858838,131919150,112980429,45301
24/06/2021,India,303426850,26458510,56282,250656880,52769970,,,,36139047,267233899,53904,22588,,,,92243148,90968877,67310981,134941971,115668447,46462
25/06/2021,India,309802519,27953093,55202,256135000,53667519,166996837,142754166,51516,37027773,272716628,58118,22709,108435293,110410673,90956553,,,,,,
26/06/2021,India,316535775,29924071,55142,261705883,54829892,170558604,145924320,52851,37908285,278562444,65046,22885,112960394,111903438,91671943,,,,,,
27/06/2021,India,318473492,14362704,23886,263289938,55183554,171570354,146849924,53214,38254587,280151800,67105,22996,114287302,112317011,91869179,,,,,,
28/06/2021,India,323836329,25874790,48855,267485789,56350540,174328759,149453113,54457,39047840,284716017,72472,23099,117673231,113624093,92539005,,,,,,
29/06/2021,India,327685422,20606418,39263,270392224,57293198,176271011,151359083,55328,39657631,287949744,78047,23129,120044665,114600753,93040004,,,,,,
30/06/2021,India,330553623,18568866,33381,272487181,58066442,177750688,152746870,56065,40307832,290158311,87480,23217,121755682,115390323,93407618,,,,,,
01/07/2021,India,334913220,20310004,40094,275842378,59070842,180022023,154834173,57024,40927453,293891479,94288,23290,124412877,116539731,93960612,,,,,,
02/07/2021,India,339447068,20812325,40091,279132514,60314554,182375868,157013277,57923,41530884,297814896,101288,23467,126985291,117838292,94623485,,,,,,
03/07/2021,India,346054022,26140934,48778,283527017,62527005,185856473,160138342,59207,42506166,303438000,109856,23695,130761114,119730672,95562236,,,,,,
04/07/2021,India,347766247,12321517,19122,284750483,63015764,186748495,160958198,59554,42729197,304924760,112290,23780,131760228,120219354,95786665,,,,,,
05/07/2021,India,352412289,20486897,42139,287588808,64823481,189175605,163176110,60574,43442864,308849054,120371,23798,134087877,121768778,96555634,,,,,,
06/07/2021,India,356192949,17691841,35607,290132865,66060084,191160373,164971125,61451,44018800,312045416,128733,23960,136158617,122916328,97118004,,,,,,
07/07/2021,India,359728245,17449073,33655,292326546,67401699,193027060,166638938,62247,44518708,315072183,137354,24041,137996472,124050399,97681374,,,,,,
08/07/2021,India,363866177,18408867,37073,295113298,68752879,195194201,168608604,63372,45082427,318636397,147353,24103,140323602,125274577,98267998,,,,,,
09/07/2021,India,367079052,15830443,31342,297184419,69894633,196883902,170130738,64412,45476306,321441373,161373,24167,142074586,126245273,98759193,,,,,,
10/07/2021,India,370921397,15975055,32091,299620148,71301249,198911398,171944765,65234,46016442,324725183,179772,24280,144140990,127450202,99330205,,,,,,
11/07/2021,India,372249777,8835173,14717,300474970,71774807,199593430,172590906,65441,46227004,325834486,188287,24280,144850653,127867994,99531130,,,,,,
12/07/2021,India,376350562,17301046,35603,303057816,73292746,201700141,174584012,66409,46822284,329322624,205654,24290,146972241,129180113,100198208,,,,,,
13/07/2021,India,380212639,15468942,33126,305477371,74735268,203712414,176432842,67383,47230844,332757295,224500,24407,148978156,130436240,100798243,,,,,,
14/07/2021,India,386288141,14758731,31235,310042014,76246127,206783170,179436493,68478,47878858,338166245,243038,24407,151234541,132856589,102197011,,,,,,
15/07/2021,India,390286930,16084911,35258,312624872,77662058,208881920,181335624,69386,48322223,341703521,261186,24497,153409838,134089039,102788053,,,,,,
16/07/2021,India,394641704,16935747,37143,315177274,79464430,211136743,183434678,70283,48832941,345528530,280233,24626,155648918,135521275,103471511,,,,,,
17/07/2021,India,399873648,18405270,39857,318403675,81469973,213861867,185940424,71357,49284948,350286122,302578,24729,158454523,137167237,104251888,,,,,,
18/07/2021,India,401441969,9120348,16236,319469878,81972091,214657889,186712441,71639,49377691,351756263,308015,24823,159352703,137615222,104474044,,,,,,
19/07/2021,India,406790133,19017782,42026,322905680,83884453,217407550,189309762,72821,49702746,356765200,322187,24895,162164065,139322155,105303913,,,,,,
20/07/2021,India,410430826,14830467,33503,325242678,85188148,219282113,191075012,73701,50023562,360070547,336717,24895,164156483,140448106,105826237,,,,,,
21/07/2021,India,412817034,11772741,23842,326792911,86024123,220516550,192226247,74237,50204520,362262299,350215,24955,165490766,141158729,106167539,,,,,,
22/07/2021,India,418366838,18416197,41363,330465663,87901175,223376425,194914788,75625,50586096,367417104,363638,25048,168588236,142841291,106937311,,,,,,
23/07/2021,India,422845298,16337977,37521,333352959,89492339,225676609,197091984,76705,51020810,371447023,377465,25048,171051873,144211690,107581735,,,,,,
24/07/2021,India,428109930,18476847,40423,336917806,91192124,228432995,199598934,78001,51538610,376177250,394070,25102,174129036,145718727,108262167,,,,,,
25/07/2021,India,430170531,10784124,19973,338346937,91823594,229530717,200561391,78423,51767129,378003458,399944,25179,175393190,146262751,108514590,,,,,,
26/07/2021,India,436861480,22339305,46007,343039824,93821656,232940580,203840892,80008,52419879,384030365,411236,25223,179142928,148284870,109433682,,,,,,
27/07/2021,India,441128674,16549712,38079,345867755,95260919,235125348,205922411,80915,52894031,387811369,423274,25307,181617271,149496636,110014767,,,,,,
28/07/2021,India,445696580,0,0,349104325,96592255,237477784,208136635,82161,53408734,391853470,434376,25432,184431510,150689722,110575348,,,,,,
29/07/2021,India,450997892,20051908,43876,352679959,98317933,240211089,210703313,83490,54031515,396521739,444638,25432,187633421,152107728,111256743,,,,,,
30/07/2021,India,456471250,20918871,45339,356348903,100122347,242983261,213403098,84891,54580577,401434035,456638,25507,190811644,153629017,112030589,,,,,,
31/07/2021,India,463113439,22141942,47334,361264651,101848788,246409497,216617587,86541,55439978,407198907,474554,25626,195087768,155232209,112793462,,,,,,
01/08/2021,India,467769865,9847327,20066,365110984,102658881,248763622,218919118,87125,56043444,411243920,482501,25626,197208754,156775004,113786107,,,,,,
02/08/2021,India,473977156,22612516,47979,369654820,104322336,251922714,221965874,88568,56851465,416629951,495740,25730,201077466,158350312,114549378,,,,,,
03/08/2021,India,480643928,23639645,47616,375040194,105603734,255277644,225275770,90514,57595129,422539027,509772,25794,205389843,159919512,115334573,,,,,,
04/08/2021,India,484911273,17215840,35467,378269912,106641361,257443333,227376100,91840,58451360,425936633,523280,25864,208270944,160857531,115782798,,,,,,
05/08/2021,India,490760938,22435536,48656,382658786,108102152,260416391,230251149,93398,59350900,430872848,537190,25936,212090029,162222930,116447979,,,,,,
06/08/2021,India,500087070,20015484,41826,390344882,109742188,263310052,233084386,94678,60386946,435549916,552254,26021,215689684,163655423,117144009,,,,,,
07/08/2021,India,505787038,22675183,46089,394599261,111187777,266234950,235857946,96188,61266355,440351772,570957,26120,219501484,164936885,117750715,,,,,,
08/08/2021,India,507727903,10353120,18971,395961470,111766433,267236380,236796948,96621,61524134,442029168,576647,26380,220716113,165420515,117993321,,,,,,
